age,year,num
80,1991,5
79,1991,5
80,1992,3
78,1991,5
79,1992,3
80,1993,3
77,1991,5
78,1992,3
79,1993,3
80,1994,2
76,1991,5
77,1992,3
78,1993,3
79,1994,2
80,1995,4
75,1991,5
76,1992,3
77,1993,3
78,1994,2
79,1995,4
80,1996,3
74,1991,5
75,1992,3
76,1993,3
77,1994,2
78,1995,4
79,1996,3
80,1997,3
73,1991,5
74,1992,3
75,1993,3
76,1994,2
77,1995,4
78,1996,3
79,1997,3
80,1998,2
72,1991,5
73,1992,3
74,1993,3
75,1994,2
76,1995,4
77,1996,3
78,1997,3
79,1998,2
80,1999,2
71,1991,5
72,1992,3
73,1993,3
74,1994,2
75,1995,4
76,1996,3
77,1997,3
78,1998,2
79,1999,2
80,2000,1
70,1991,5
71,1992,3
72,1993,3
73,1994,2
74,1995,4
75,1996,3
76,1997,3
77,1998,2
78,1999,2
79,2000,1
80,2001,6
69,1991,5
70,1992,3
71,1993,3
72,1994,2
73,1995,4
74,1996,3
75,1997,3
76,1998,2
77,1999,2
78,2000,1
79,2001,6
80,2002,8
68,1991,5
69,1992,3
70,1993,3
71,1994,2
72,1995,4
73,1996,3
74,1997,3
75,1998,2
76,1999,2
77,2000,1
78,2001,6
79,2002,8
80,2003,3
67,1991,5
68,1992,3
69,1993,3
70,1994,2
71,1995,4
72,1996,3
73,1997,3
74,1998,2
75,1999,2
76,2000,1
77,2001,6
78,2002,8
79,2003,3
80,2004,6
66,1991,5
67,1992,3
68,1993,3
69,1994,2
70,1995,4
71,1996,3
72,1997,3
73,1998,2
74,1999,2
75,2000,1
76,2001,6
77,2002,8
78,2003,3
79,2004,6
80,2005,3
65,1991,6
66,1992,3
67,1993,3
68,1994,2
69,1995,4
70,1996,3
71,1997,3
72,1998,2
73,1999,2
74,2000,1
75,2001,6
76,2002,8
77,2003,3
78,2004,6
79,2005,3
80,2006,3
64,1991,6
65,1992,3
66,1993,3
67,1994,2
68,1995,4
69,1996,3
70,1997,3
71,1998,2
72,1999,2
73,2000,1
74,2001,6
75,2002,8
76,2003,3
77,2004,6
78,2005,3
79,2006,3
80,2007,4
63,1991,5
64,1992,3
65,1993,3
66,1994,2
67,1995,4
68,1996,3
69,1997,3
70,1998,2
71,1999,2
72,2000,1
73,2001,6
74,2002,8
75,2003,3
76,2004,6
77,2005,3
78,2006,3
79,2007,4
80,2008,4
62,1991,5
63,1992,3
64,1993,3
65,1994,3
66,1995,4
67,1996,3
68,1997,3
69,1998,2
70,1999,2
71,2000,1
72,2001,6
73,2002,8
74,2003,3
75,2004,6
76,2005,3
77,2006,3
78,2007,4
79,2008,4
80,2009,6
61,1991,5
62,1992,3
63,1993,3
64,1994,3
65,1995,4
66,1996,3
67,1997,3
68,1998,2
69,1999,2
70,2000,1
71,2001,6
72,2002,8
73,2003,3
74,2004,6
75,2005,3
76,2006,3
77,2007,4
78,2008,4
79,2009,6
80,2010,4
60,1991,6
61,1992,3
62,1993,3
63,1994,3
64,1995,4
65,1996,3
66,1997,3
67,1998,2
68,1999,2
69,2000,1
70,2001,6
71,2002,8
72,2003,3
73,2004,6
74,2005,3
75,2006,3
76,2007,4
77,2008,4
78,2009,6
79,2010,4
80,2011,1
59,1991,6
60,1992,3
61,1993,3
62,1994,3
63,1995,4
64,1996,3
65,1997,3
66,1998,2
67,1999,2
68,2000,1
69,2001,6
70,2002,8
71,2003,3
72,2004,6
73,2005,3
74,2006,3
75,2007,4
76,2008,4
77,2009,6
78,2010,4
79,2011,1
80,2012,4
58,1991,6
59,1992,3
60,1993,3
61,1994,3
62,1995,4
63,1996,3
64,1997,4
65,1998,2
66,1999,2
67,2000,1
68,2001,6
69,2002,8
70,2003,3
71,2004,6
72,2005,3
73,2006,3
74,2007,4
75,2008,4
76,2009,6
77,2010,4
78,2011,1
79,2012,4
57,1991,7
58,1992,3
59,1993,3
60,1994,4
61,1995,4
62,1996,3
63,1997,4
64,1998,3
65,1999,3
66,2000,1
67,2001,6
68,2002,8
69,2003,3
70,2004,6
71,2005,3
72,2006,3
73,2007,4
74,2008,4
75,2009,6
76,2010,4
77,2011,1
78,2012,4
56,1991,8
57,1992,3
58,1993,3
59,1994,4
60,1995,4
61,1996,3
62,1997,4
63,1998,3
64,1999,3
65,2000,1
66,2001,6
67,2002,8
68,2003,3
69,2004,6
70,2005,3
71,2006,3
72,2007,4
73,2008,4
74,2009,6
75,2010,4
76,2011,1
77,2012,4
55,1991,9
56,1992,4
57,1993,3
58,1994,4
59,1995,4
60,1996,3
61,1997,4
62,1998,3
63,1999,3
64,2000,1
65,2001,6
66,2002,9
67,2003,3
68,2004,6
69,2005,3
70,2006,3
71,2007,4
72,2008,4
73,2009,6
74,2010,4
75,2011,1
76,2012,4
54,1991,10
55,1992,5
56,1993,3
57,1994,5
58,1995,4
59,1996,3
60,1997,4
61,1998,3
62,1999,3
63,2000,1
64,2001,6
65,2002,9
66,2003,3
67,2004,6
68,2005,4
69,2006,4
70,2007,4
71,2008,4
72,2009,6
73,2010,4
74,2011,1
75,2012,4
53,1991,11
54,1992,5
55,1993,4
56,1994,5
57,1995,5
58,1996,3
59,1997,5
60,1998,3
61,1999,3
62,2000,1
63,2001,6
64,2002,9
65,2003,3
66,2004,7
67,2005,4
68,2006,4
69,2007,4
70,2008,5
71,2009,6
72,2010,4
73,2011,1
74,2012,4
52,1991,13
53,1992,5
54,1993,4
55,1994,6
56,1995,5
57,1996,4
58,1997,5
59,1998,4
60,1999,4
61,2000,1
62,2001,6
63,2002,9
64,2003,3
65,2004,7
66,2005,4
67,2006,4
68,2007,5
69,2008,5
70,2009,8
71,2010,4
72,2011,1
73,2012,4
51,1991,14
52,1992,6
53,1993,4
54,1994,7
55,1995,6
56,1996,5
57,1997,6
58,1998,4
59,1999,4
60,2000,1
61,2001,7
62,2002,10
63,2003,3
64,2004,7
65,2005,5
66,2006,4
67,2007,5
68,2008,5
69,2009,8
70,2010,4
71,2011,1
72,2012,4
50,1991,16
51,1992,7
52,1993,4
53,1994,8
54,1995,7
55,1996,6
56,1997,7
57,1998,5
58,1999,5
59,2000,1
60,2001,7
61,2002,10
62,2003,4
63,2004,7
64,2005,5
65,2006,5
66,2007,5
67,2008,6
68,2009,9
69,2010,4
70,2011,2
71,2012,4
49,1991,18
50,1992,9
51,1993,4
52,1994,10
53,1995,8
54,1996,7
55,1997,7
56,1998,6
57,1999,6
58,2000,1
59,2001,7
60,2002,10
61,2003,4
62,2004,8
63,2005,5
64,2006,5
65,2007,6
66,2008,6
67,2009,9
68,2010,4
69,2011,2
70,2012,4
48,1991,21
49,1992,10
50,1993,5
51,1994,11
52,1995,9
53,1996,10
54,1997,9
55,1998,7
56,1999,7
57,2000,1
58,2001,7
59,2002,12
60,2003,4
61,2004,8
62,2005,6
63,2006,6
64,2007,6
65,2008,7
66,2009,10
67,2010,4
68,2011,3
69,2012,4
47,1991,24
48,1992,11
49,1993,5
50,1994,12
51,1995,10
52,1996,11
53,1997,10
54,1998,7
55,1999,8
56,2000,1
57,2001,7
58,2002,12
59,2003,3
60,2004,8
61,2005,7
62,2006,7
63,2007,6
64,2008,8
65,2009,11
66,2010,4
67,2011,3
68,2012,4
46,1991,27
47,1992,14
48,1993,6
49,1994,14
50,1995,12
51,1996,15
52,1997,12
53,1998,8
54,1999,10
55,2000,1
56,2001,8
57,2002,14
58,2003,3
59,2004,9
60,2005,8
61,2006,7
62,2007,7
63,2008,9
64,2009,12
65,2010,4
66,2011,4
67,2012,4
45,1991,31
46,1992,16
47,1993,6
48,1994,17
49,1995,15
50,1996,19
51,1997,13
52,1998,10
53,1999,12
54,2000,1
55,2001,10
56,2002,15
57,2003,4
58,2004,11
59,2005,10
60,2006,8
61,2007,8
62,2008,10
63,2009,13
64,2010,4
65,2011,5
66,2012,4
44,1991,36
45,1992,20
46,1993,7
47,1994,19
48,1995,17
49,1996,24
50,1997,15
51,1998,11
52,1999,15
53,2000,1
54,2001,11
55,2002,18
56,2003,4
57,2004,11
58,2005,11
59,2006,10
60,2007,9
61,2008,11
62,2009,15
63,2010,3
64,2011,6
65,2012,4
43,1991,40
44,1992,24
45,1993,8
46,1994,22
47,1995,22
48,1996,29
49,1997,18
50,1998,14
51,1999,17
52,2000,1
53,2001,12
54,2002,20
55,2003,4
56,2004,12
57,2005,14
58,2006,12
59,2007,11
60,2008,13
61,2009,16
62,2010,3
63,2011,7
64,2012,4
42,1991,45
43,1992,29
44,1993,9
45,1994,26
46,1995,25
47,1996,36
48,1997,20
49,1998,16
50,1999,20
51,2000,1
52,2001,14
53,2002,25
54,2003,5
55,2004,14
56,2005,17
57,2006,14
58,2007,12
59,2008,15
60,2009,18
61,2010,3
62,2011,9
63,2012,4
41,1991,52
42,1992,34
43,1993,10
44,1994,30
45,1995,32
46,1996,46
47,1997,24
48,1998,19
49,1999,24
50,2000,1
51,2001,17
52,2002,27
53,2003,5
54,2004,17
55,2005,22
56,2006,16
57,2007,14
58,2008,17
59,2009,22
60,2010,3
61,2011,11
62,2012,4
40,1991,60
41,1992,43
42,1993,12
43,1994,35
44,1995,38
45,1996,57
46,1997,27
47,1998,22
48,1999,27
49,2000,1
50,2001,20
51,2002,33
52,2003,6
53,2004,20
54,2005,27
55,2006,19
56,2007,18
57,2008,20
58,2009,26
59,2010,3
60,2011,13
61,2012,4
39,1991,68
40,1992,52
41,1993,13
42,1994,40
43,1995,46
44,1996,70
45,1997,33
46,1998,25
47,1999,33
48,2000,1
49,2001,23
50,2002,38
51,2003,7
52,2004,23
53,2005,33
54,2006,22
55,2007,21
56,2008,24
57,2009,30
58,2010,2
59,2011,16
